"filename", "language", "PostCSS", "TypeScript", "HTML", "JSON", "comment", "blank", "total"
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\_guards\auth-employer.guard.ts", "TypeScript", 0, 25, 0, 0, 0, 2, 27
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\_guards\auth-job-seeker.guard.ts", "TypeScript", 0, 35, 0, 0, 0, 2, 37
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\_interceptors\error.interceptor.ts", "TypeScript", 0, 45, 0, 0, 10, 3, 58
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\_interceptors\jwt.interceptor.ts", "TypeScript", 0, 31, 0, 0, 0, 3, 34
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\_interceptors\loading.interceptor.ts", "TypeScript", 0, 25, 0, 0, 0, 3, 28
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\_models\employer.ts", "TypeScript", 0, 12, 0, 0, 0, 1, 13
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\_models\experience.ts", "TypeScript", 0, 9, 0, 0, 0, 2, 11
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\_models\job-seeker.ts", "TypeScript", 0, 17, 0, 0, 0, 2, 19
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\_models\pagination.ts", "TypeScript", 0, 10, 0, 0, 0, 1, 11
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\_models\qualification.ts", "TypeScript", 0, 7, 0, 0, 0, 1, 8
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\_models\role.ts", "TypeScript", 0, 4, 0, 0, 0, 1, 5
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\_models\user.ts", "TypeScript", 0, 4, 0, 0, 0, 0, 4
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\_models\vacancy-request.ts", "TypeScript", 0, 3, 0, 0, 0, 0, 3
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\_models\vacancy.ts", "TypeScript", 0, 21, 0, 0, 0, 2, 23
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\_modules\shared.module.ts", "TypeScript", 0, 33, 0, 0, 0, 2, 35
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\_seed\Data\empppy.json", "JSON", 0, 0, 0, 5193, 0, 1, 5194
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\_seed\Data\jsData.json", "JSON", 0, 0, 0, 5113, 0, 1, 5114
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\_seed\seeder\seeder.component.css", "PostCSS", 0, 0, 0, 0, 0, 1, 1
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\_seed\seeder\seeder.component.html", "HTML", 0, 0, 1, 0, 0, 1, 2
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\_seed\seeder\seeder.component.ts", "TypeScript", 0, 72, 0, 0, 9, 5, 86
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\_services\account.service.ts", "TypeScript", 0, 61, 0, 0, 0, 6, 67
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\_services\busy.service.ts", "TypeScript", 0, 20, 0, 0, 0, 4, 24
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\_services\employer.service.ts", "TypeScript", 0, 113, 0, 0, 5, 5, 123
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\_services\job-seeker.service.ts", "TypeScript", 0, 122, 0, 0, 0, 5, 127
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\_services\vacancy.service.ts", "TypeScript", 0, 85, 0, 0, 2, 5, 92
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\_theming\flatlytheme.bootstrap.min.css", "PostCSS", 2, 0, 0, 0, 10, 0, 12
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\_theming\litera.bootstrap.min.css", "PostCSS", 2, 0, 0, 0, 10, 0, 12
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\app-routing.module.ts", "TypeScript", 0, 96, 0, 0, 1, 7, 104
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\app.component.css", "PostCSS", 0, 0, 0, 0, 3, 1, 4
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\app.component.html", "HTML", 0, 0, 3, 0, 1, 1, 5
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\app.component.spec.ts", "TypeScript", 0, 31, 0, 0, 0, 5, 36
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\app.component.ts", "TypeScript", 0, 29, 0, 0, 0, 6, 35
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\app.module.ts", "TypeScript", 0, 81, 0, 0, 2, 3, 86
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\employer\employer-profile-edit\employer-profile-edit.component.css", "PostCSS", 0, 0, 0, 0, 0, 1, 1
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\employer\employer-profile-edit\employer-profile-edit.component.html", "HTML", 0, 0, 153, 0, 0, 1, 154
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\employer\employer-profile-edit\employer-profile-edit.component.ts", "TypeScript", 0, 82, 0, 0, 0, 6, 88
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\employer\employer-profile\employer-profile.component.css", "PostCSS", 33, 0, 0, 0, 0, 7, 40
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\employer\employer-profile\employer-profile.component.html", "HTML", 0, 0, 36, 0, 5, 1, 42
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\employer\employer-profile\employer-profile.component.ts", "TypeScript", 0, 31, 0, 0, 0, 4, 35
"e:\WorkProjects\jobportal\src\Client\job-portal-client\src\app\employer\employer-vacancy-create\employer-vacancy-create.component.css", "PostCSS", 0, 0, 0, 0, 0, 1, 1
